empresa,associado
397618,397641
MDIA,397643
MDIA,397642
MDIA,397644
MRFG,421010
421010,421011
421010,421012
421010,421013
MRFG,421009
MRFG,421008
MRFG,421007
MRFG,421014
MRFG,421015
MRFG,421017
MRFG,421016
MRFG,421018
BEEF,420842
420842,420846
420846,420847
420846,420848
420846,420849
420842,420851
420842,420852
420842,420843
420842,420844
420842,420845
420842,420850
420842,420853
BEEF,420855
BEEF,420854
BEEF,420856
MNPR,395910
395910,395911
395910,395912
395910,395913
MNPR,395914
MNPR,395918
395918,395919
395918,395920
395918,395921
MNPR,395915
MNPR,395916
MNPR,395922
MNPR,395917
MNPR,395924
MNPR,395923
MNPR,395925
MONP,414268
414268,414269
414269,414270
414270,414271
414270,414272
414269,414273
414268,414274
MONP,414275
414275,414276
414276,414277
414277,414278
414278,414279
414278,414280
414277,414281
414276,414282
414275,414283
MONP,414284
414284,414285
414284,414286
MONP,414287
MONP,414288
414288,414289
414289,414290
414290,414291
414290,414292
414289,414293
414288,414294
MONP,414295
MONP,414296
PENA,171132
PENA,171131
PENA,171133
SLAL,247977
SLAL,247979
SLAL,247978
SLAL,247980
TERI,386758
386758,386762
386762,386763
386763,386764
386763,386765
386762,386766
386766,386767
386766,386768
386762,386769
386769,386770
386769,386771
386762,386772
386758,386759
386759,386760
386759,386761
386758,386773
TERI,386774
386774,386778
386778,386779
386778,386780
386774,386781
386781,386782
386781,386783
386774,386775
386775,386776
386775,386777
386774,386784
TERI,386750
386750,386751
386751,386752
386751,386753
386750,386754
386754,386755
386754,386756
386750,386757
TERI,386786
TERI,386785
TERI,386787
VIGR,412972
412972,412973
412972,412974
412974,412977
412974,412975
412974,412979
412974,412976
412974,412978
412974,412980
412974,412981
412974,412982
412974,412983
412972,412984
412972,412985
412972,412986
412972,412987
412972,412988
VIGR,412989
VIGR,412824
412824,412874
412874,412875
412875,412876
412876,412877
412876,412878
412875,412879
412879,412880
412880,412891
412891,412892
412891,412893
412891,412894
412891,412895
412880,412896
412896,412897
412896,412898
412896,412899
412896,412900
412896,412901
412896,412902
412880,412903
412903,412904
412903,412905
412903,412906
412880,412907
412907,412908
412907,412909
412907,412910
412907,412911
412907,412912
412880,412881
412881,412882
412881,412883
412881,412884
412881,412885
412881,412886
412880,412887
412887,412889
412887,412888
412887,412890
412880,412913
412880,412914
412880,412915
412880,412916
412880,412917
412880,412918
412880,412919
412879,412920
412879,412921
412875,412922
412874,412923
412923,412949
412949,412950
412949,412952
412949,412953
412949,412954
412949,412951
412949,412955
412949,412956
412923,412928
412923,412941
412941,412942
412941,412943
412941,412944
412923,412929
412929,412930
412929,412931
