Ranking 2011,Ranking 2010,Empresa,Sede,Setor de atividade,Receita líquida (R$ milhões),Var. (%),Capital (origem),Lucro líquido (R$ milhões),Var (%),Margem líquida (%),Rentab. do PL (%),Lucro da ativ. (R$ milhões),Lucro Financ. (R$ milhões),Lucro não oper. (R$ milhões),Ebitda (R$ milhões),Var. (%),Ativo total (R$ milhões),Patrim. líquido (R$ milhões),Endiv. oneroso (R$ milhões),Nível endiv. geral (%),Nível endiv. oneroso (%),Liq. corrente (em pontos),Crescim. sustent. (em pontos)
514,534,Nova Rio,RJ,Serviços Especializados,643,16.1,BR,30.1,14.9,4.7,27.4,47,2.6,0,48.5,33.5,154.7,110.1,0,40.5,0,3.86,0.9319
515,451,Ferbasa,BA,Metalurgia e Siderurgia,642.3,-4.6,BR,90.9,-32.2,14.1,8.3,62.3,46.7,0,104.2,-34.1,1267.6,1097.1,13.9,15.5,1.3,6.24,ND
516,597,Arroz Tio Jorge,GO,Alimentos,640.3,31.4,BR,10.3,-31.2,1.6,14,15.1,-8.3,0,22.4,-30.9,218.6,73.7,121.2,196.6,164.3,1.44,1.1299
517,852,Toshiba,MG,Mecânica,632.4,109.9,JP,20.4,-43.6,3.2,5.8,41.5,-9.4,0,51.6,-16.8,694.8,351.6,50.4,97.6,14.3,1.35,1.2209
518,450,Romi,SP,Mecânica,631.1,-6.3,BR,4.3,-93.7,0.7,0.6,-12.1,10.8,0,17.7,-82.4,1813.4,679.7,991.6,166.8,145.9,1.85,ND
519,508,Ipiranga Coca-Cola,SP,Bebidas e Fumo,630.7,8.9,BR,15.5,-37.8,2.5,7,9,-0.7,0,57.4,-25.1,624.7,221.9,95.9,181.5,43.2,0.96,0.68
520,489,Codesp,SP,Transportes e Logística,626.2,3.7,BR,65.2,46.6,10.4,6.7,-65,58.3,0,75.7,-10.6,2019.3,969.3,12,108.3,1.2,1.39,0.8814
521,511,Protege,SP,Transportes e Logística,625,8.2,BR,142.9,86,22.9,65.7,71.1,-16.3,0,240.2,70.3,560.9,217.3,50.8,158.1,23.4,1.44,0.4882
522,535,Rede Eletrosom,MG,Comércio Varejista,624.2,13,BR,2.2,-91.5,0.4,2.3,54.4,-48,0,63.7,-2,598.8,97.9,327.7,511.7,334.8,1.44,1.0985
523,509,Todeschini,RS,Mat. de Constr. e Decoração,623.9,9.1,BR,136.3,15.7,21.9,22.4,142.1,33.4,0,164.9,4.9,798.7,609.1,5,31.1,0.8,3.22,0.8936
524,713,Marasca,RS,Comércio Atacadista e Exterior,622.8,61.9,BR,6.3,140.6,1,19.1,4.7,1.5,0,13,139,263.7,33.1,99.9,695.8,301.6,0.89,1.2542
525,453,Forjas Taurus,RS,Metalurgia e Siderurgia,618,1.5,BR,37.3,-46.9,6,11.5,99.1,-47.6,-35.7,126.7,-2.2,1126.7,325.2,540.8,246.4,166.3,1.61,ND
526,525,Marcosa,CE,Comércio Varejista,617.3,9.4,BR,7.7,-41.1,1.2,17,13.1,-7.4,0,26.6,-37.3,299.5,45.3,87.7,561.4,193.8,1.04,1.0303
527,533,GPC Participações,RJ,Química e Petroquímica,615.2,10.9,BR,-38.8,-57,-6.3,-18.6,13.1,-75.2,0,43.2,-19.9,765.4,208.2,323.7,267.6,155.5,0.84,1.0572
528,0,CTrens,SP,Serviços Especializados,614.6,3096.7,BR,14.3,2272,2.3,4.9,29.5,-7.9,0,29.5,777.5,1001.3,291.1,580.7,244,199.5,3.82,9.4202
529,541,Coniexpress,SP,Alimentos,614.3,12.6,BR,37.6,-37.1,6.1,11.4,37.1,4.1,0,63.1,-28.2,435.3,331.3,20.7,31.4,6.3,3.87,1.0628
530,483,Monroe,SP,Veículos e Peças,614.2,0.8,US,40.3,11.2,6.6,89,59.1,-0.6,0,68.8,7.5,244.4,45.3,0,440,0,1.56,ND
531,0,TNT Mercúrio,RS,Transportes e Logística,613,5.2,HO,-288.6,-26.1,-47.1,-180.4,-228.2,-11.4,0,-208.5,-15.9,402.4,159.9,34.8,151.6,21.8,1.28,ND
532,520,Zero Hora,RS,Serviços Especializados,611.1,7.1,BR,10.5,-77.6,1.7,7.3,56.1,-31.6,0,75.2,-31.2,634.4,143.5,324.7,342,226.2,1.65,1.0142
